,acceleration,age,agility,archetype,archetype_id,awareness,ball_carrier_vision,block_shedding,break_sack,break_tackle,can_auction,can_trade,carrying,catch_in_traffic,catching,confidence,deep_route_running,deep_throw_accuracy,elusiveness,external_id,external_player_id,finesse_moves,first_name,game_id,has_power_up,has_upgrades,height,hit_power,id,image,impact_blocking,import_date,importance,injury,is_collectible,is_free_agent,is_locked,is_unlimited_use,is_upgradeable,jersey_number,juke_move,jumping,kick_accuracy,kick_power,kick_return,last_name,last_updated,lead_block,legacy_score,limited_edition_count,man_coverage,medium_route_running,medium_throw_accuracy,morale,name,overall,pass_block,pass_block_finesse,pass_block_footwork,pass_block_power,pass_block_strength,play_action,play_recognition,player,position,position_id,position_ovr_json,power_moves,press,program,program_id,pursuit,quicksell_amount,quicksell_currency,release,release_date,run_block,run_block_finesse,run_block_footwork,run_block_power,run_block_strength,running_style,salary_cap_cost,short_route_running,short_throw_accuracy,spectacular_catch,speed,spin_move,stamina,stats,status,stiff_arm,strength,super_bowl_wins,tackle,team,team_id,throw_accuracy,throw_power,throw_under_pressure,throwing_on_the_run,tier,toughness,trait_aggressive_catches,trait_big_hitter,trait_clutch,trait_covers_the_ball,trait_drops_open_passes,trait_fights_for_extra_yards,trait_forces_passes,trait_high_motor,trait_lb_style,trait_makes_sideline_catches,trait_penalty,trait_plays_ball_in_the_air,trait_possession_catches,trait_qb_style,trait_rac_catches,trait_sense_pressure,trait_strips_ball,trait_throw_ball_away,trait_throws_tight_spiral,trait_utilizes_bull_rush_moves,trait_utilizes_spin_moves,trait_utilizes_swim_moves,trucking,upgrades_json,url,weight,zone_coverage
0,78,35,77,16,16,89,71,10,84,59,True,True,56,10,37,,10,85,58,52338,26668,10,Aaron,8,True,False,74,10,10433,https://cdn.muthead.com/media/20/assets/lgnd-00052338.png,10,2020-01-25T16:19:20.614880Z,,85,True,False,False,True,True,12,46,65,10,10,10,Rodgers,,10,,0,10,10,82,,Aaron Rodgers,89,10,10,,10,,85,15,,"{'id': 1, 'abbreviation': 'QB', 'external_id': 0, 'base_position': 1, 'name': 'Quarterback'}",1,"{""1"": 89}",10,10,"{'id': 92, 'external_image_name': '86,1000009', 'external_id': 9, 'game': 8, 'description': 'Legends', 'hex_color': '#0054AB', 'name': 'Legends', 'image': 'https://cdn.muthead.com/media/20/assets/swap-81-3000000.png'}",92,14,3570,6,10,2020-01-25T16:19:20.614890Z,10,10,,10,,1,46,10,90,10,74,48,91,"[{'value': '6\' 2""', 'label': 'HT'}, {'value': 74, 'label': 'SPD'}, {'value': 89, 'label': 'THP'}, {'value': 90, 'label': 'TAS'}, {'value': 82, 'label': 'TAM'}, {'value': 85, 'label': 'TAD'}, {'value': 82, 'label': 'TUP'}, {'value': 88, 'label': 'TOR'}, {'value': 85, 'label': 'PAC'}]",1,13,53,,10,"{'id': 20, 'external_id': 20, 'short_name': 'Packers', 'hex_color': '#203731', 'abbreviation': 'GB', 'name': 'Green Bay Packers'}",20,84,89,82,88,4,98,,,True,,,,,,,,1.0,,,2.0,,3.0,,False,True,,,,23,,/20/players/52338/,225,10
1,84,53,83,8,8,85,83,29,27,78,True,True,72,82,85,,78,29,80,52055,10894,10,Jerry,8,True,False,74,15,8411,https://cdn.muthead.com/media/20/assets/lgnd-00052055.png,41,2019-08-03T18:02:25.787844Z,,87,True,False,False,True,True,80,79,82,27,28,65,Rice,,35,,0,25,83,35,,Jerry Rice,86,35,33,,31,,5,32,,"{'id': 4, 'abbreviation': 'WR', 'external_id': 3, 'base_position': 4, 'name': 'Wide Receiver'}",4,"{""4"": 86}",10,15,"{'id': 92, 'external_image_name': '86,1000009', 'external_id': 9, 'game': 8, 'description': 'Legends', 'hex_color': '#0054AB', 'name': 'Legends', 'image': 'https://cdn.muthead.com/media/20/assets/swap-81-3000000.png'}",92,35,1340,6,81,2019-08-03T18:02:25.787890Z,45,38,,33,,8,32,85,37,81,83,76,86,"[{'value': '6\' 2""', 'label': 'HT'}, {'value': 83, 'label': 'SPD'}, {'value': 82, 'label': 'JMP'}, {'value': 85, 'label': 'CTH'}, {'value': 82, 'label': 'CIT'}, {'value': 81, 'label': 'SPC'}, {'value': 85, 'label': 'SRR'}, {'value': 83, 'label': 'MRR'}, {'value': 78, 'label': 'DRR'}]",1,63,51,,38,"{'id': 15, 'external_id': 15, 'short_name': '49ers', 'hex_color': '#af1e2c', 'abbreviation': 'SF', 'name': 'San Francisco 49ers'}",15,49,66,24,10,4,99,True,,True,6.0,False,False,,True,,True,1.0,,True,,True,,,,,,,,46,,/20/players/52055/,200,35
2,57,42,61,4,4,90,41,23,51,21,True,True,56,10,29,,10,81,27,10101327,1327,10,Tom,8,True,False,76,10,5859,https://cdn.muthead.com/media/20/assets/core-10101327.png,24,2019-07-22T21:55:50.076655Z,,90,True,False,False,True,True,12,42,38,10,10,10,Brady,,14,,0,10,10,88,,Tom Brady,88,10,10,,10,,88,10,,"{'id': 1, 'abbreviation': 'QB', 'external_id': 0, 'base_position': 1, 'name': 'Quarterback'}",1,"{""1"": 88}",10,10,"{'id': 71, 'external_image_name': '86,1000004', 'external_id': 4, 'game': 8, 'description': 'Core Set Elite', 'hex_color': '#C00000', 'name': 'Core Elite', 'image': 'https://cdn.muthead.com/media/20/assets/swap-86-1000004.png'}",71,20,2570,6,10,2019-07-22T21:55:50.076700Z,15,10,,10,,1,28,10,90,20,51,25,90,"[{'value': '6\' 4""', 'label': 'HT'}, {'value': 51, 'label': 'SPD'}, {'value': 83, 'label': 'THP'}, {'value': 90, 'label': 'TAS'}, {'value': 88, 'label': 'TAM'}, {'value': 81, 'label': 'TAD'}, {'value': 80, 'label': 'TUP'}, {'value': 73, 'label': 'TOR'}, {'value': 88, 'label': 'PAC'}]",1,17,55,,23,"{'id': 22, 'external_id': 22, 'short_name': 'Patriots', 'hex_color': '#0d254c', 'abbreviation': 'NE', 'name': 'New England Patriots'}",22,87,83,80,73,4,96,,,True,,,,2.0,,,,2.0,,,,,3.0,,True,True,,,,10,,/20/players/10101327/,225,10
3,89,28,81,34,34,89,35,81,10,10,True,True,50,30,45,,10,10,10,50748,12363,80,Trent,8,False,False,78,86,10495,https://cdn.muthead.com/media/20/assets/vets-00050748.png,85,2020-01-31T15:36:46.870203Z,,92,True,False,False,True,True,93,25,88,22,10,14,Murphy,,11,,0,40,10,10,,Trent Murphy,91,35,35,,35,,10,89,,"{'id': 11, 'abbreviation': 'LE', 'external_id': 10, 'base_position': 9, 'name': 'Left End'}",11,"{""11"": 91, ""12"": 89, ""13"": 83, ""14"": 88, ""16"": 88}",90,28,"{'id': 100, 'external_image_name': '86,1000034', 'external_id': 34, 'game': 8, 'description': 'Veterans', 'hex_color': '#052C11', 'name': 'Veterans', 'image': 'https://cdn.muthead.com/media/20/assets/pgrm-00000034.png'}",100,87,6840,6,10,2020-01-31T15:36:46.870214Z,35,35,,35,,5,35,10,10,28,79,30,85,"[{'value': '6\' 6""', 'label': 'HT'}, {'value': 79, 'label': 'SPD'}, {'value': 89, 'label': 'ACC'}, {'value': 85, 'label': 'STR'}, {'value': 88, 'label': 'TAK'}, {'value': 89, 'label': 'PRC'}, {'value': 81, 'label': 'BKS'}, {'value': 90, 'label': 'PWM'}, {'value': 80, 'label': 'FNM'}]",1,30,85,,88,"{'id': 3, 'external_id': 3, 'short_name': 'Bills', 'hex_color': '#00338d', 'abbreviation': 'BUF', 'name': 'Buffalo Bills'}",3,10,10,10,10,4,88,,False,,,,,,True,,,2.0,,,,,,True,,,True,False,True,28,,/20/players/50748/,259,52
4,93,24,94,26,26,94,92,20,14,86,True,True,96,64,66,,50,10,89,53202,13125,10,Sony,8,True,False,71,17,10420,https://cdn.muthead.com/media/20/assets/supb-00053202.png,34,2020-01-24T15:36:47.662932Z,,88,True,False,False,True,True,26,95,78,10,10,70,Michel,,29,,0,10,59,10,,Sony Michel,95,56,38,,44,,10,10,,"{'id': 2, 'abbreviation': 'HB', 'external_id': 1, 'base_position': 2, 'name': 'Half Back'}",2,"{""2"": 95, ""3"": 80, ""4"": 74}",10,10,"{'id': 126, 'external_image_name': '|pgrm-00001021', 'external_id': 1022, 'game': 8, 'description': 'Super Bowl Past', 'hex_color': '#008E97', 'name': 'Super Bowl Past', 'image': 'https://cdn.muthead.com/media/20/assets/pgrm-00001021.png'}",126,30,25200,6,59,2020-01-24T15:36:47.662942Z,31,28,,31,,3,67,64,15,65,91,83,90,"[{'value': '5\' 11""', 'label': 'HT'}, {'value': 91, 'label': 'SPD'}, {'value': 93, 'label': 'ACC'}, {'value': 94, 'label': 'AGI'}, {'value': 96, 'label': 'CAR'}, {'value': 66, 'label': 'CTH'}, {'value': 89, 'label': 'ELU'}, {'value': 89, 'label': 'TRK'}, {'value': 86, 'label': 'BTK'}]",1,90,76,,25,"{'id': 22, 'external_id': 22, 'short_name': 'Patriots', 'hex_color': '#0d254c', 'abbreviation': 'NE', 'name': 'New England Patriots'}",22,15,18,10,10,4,82,False,,False,3.0,False,True,,True,,False,1.0,,False,,False,,,,,,,,89,,/20/players/53202/,215,10
5,88,22,85,4,4,94,82,12,77,62,True,True,61,10,28,,10,91,65,99952903,20427,10,Daniel,8,True,False,77,10,10527,https://cdn.muthead.com/media/20/assets/zero-00052903.png,14,2020-02-07T15:36:50.495408Z,,89,True,False,False,True,True,8,59,82,39,50,10,Jones,,10,,0,10,10,91,,Daniel Jones,95,10,10,,10,,91,10,,"{'id': 1, 'abbreviation': 'QB', 'external_id': 0, 'base_position': 1, 'name': 'Quarterback'}",1,"{""1"": 95}",10,10,"{'id': 108, 'external_image_name': '86,1000109', 'external_id': 109, 'game': 8, 'description': 'Series Redux', 'hex_color': '#FE9FB4', 'name': 'Series Redux', 'image': 'https://cdn.muthead.com/media/20/assets/pgrm-00000109.png'}",108,21,25200,6,10,2020-02-07T15:36:50.495418Z,10,10,,10,,1,82,10,96,11,85,51,92,"[{'value': '6\' 5""', 'label': 'HT'}, {'value': 85, 'label': 'SPD'}, {'value': 92, 'label': 'THP'}, {'value': 96, 'label': 'TAS'}, {'value': 91, 'label': 'TAM'}, {'value': 91, 'label': 'TAD'}, {'value': 92, 'label': 'TUP'}, {'value': 92, 'label': 'TOR'}, {'value': 91, 'label': 'PAC'}]",1,41,69,,14,"{'id': 16, 'external_id': 16, 'short_name': 'Giants', 'hex_color': '#203d8c', 'abbreviation': 'NYG', 'name': 'New York Giants'}",16,79,92,92,92,4,94,,,False,,,,3.0,,,,1.0,,,1.0,,,,False,True,,,,56,,/20/players/99952903/,221,10
6,82,27,76,21,21,91,62,54,10,34,True,True,45,39,59,,10,10,49,50908,9879,52,Tony,8,True,False,71,84,8421,https://cdn.muthead.com/media/20/assets/flsh-00050908.png,58,2019-08-06T14:36:30.006021Z,,84,True,False,False,True,True,22,60,77,10,16,34,Jefferson,,10,,0,77,10,10,,Tony Jefferson,86,25,25,,25,,10,91,,"{'id': 19, 'abbreviation': 'SS', 'external_id': 18, 'base_position': 14, 'name': 'Strong Safety'}",19,"{""17"": 79, ""18"": 82, ""19"": 86}",47,72,"{'id': 98, 'external_image_name': '86,1000032', 'external_id': 32, 'game': 8, 'description': 'Flashbacks', 'hex_color': '#FFF000', 'name': 'Flashbacks', 'image': 'https://cdn.muthead.com/media/20/assets/pgrm-00000032.png'}",98,85,1340,6,15,2019-08-06T14:36:30.006073Z,25,25,,25,,5,30,10,10,57,80,56,85,"[{'value': '5\' 11""', 'label': 'HT'}, {'value': 80, 'label': 'SPD'}, {'value': 82, 'label': 'ACC'}, {'value': 77, 'label': 'TAK'}, {'value': 91, 'label': 'PRC'}, {'value': 85, 'label': 'PUR'}, {'value': 77, 'label': 'MCV'}, {'value': 79, 'label': 'ZCV'}, {'value': 84, 'label': 'POW'}]",1,40,59,,77,"{'id': 7, 'external_id': 7, 'short_name': 'Cardinals', 'hex_color': '#9b2743', 'abbreviation': 'ARI', 'name': 'Arizona Cardinals'}",7,10,15,10,10,4,80,,False,False,,,,,True,1.0,,2.0,2.0,,,,,True,,,False,False,False,35,,/20/players/50908/,212,79
7,93,27,92,5,5,95,91,35,12,83,True,True,79,95,95,,90,10,77,53105,506,22,DeAndre,8,True,False,73,25,10378,https://cdn.muthead.com/media/20/assets/toty-00053105.png,44,2020-01-14T15:36:46.378160Z,,96,True,False,False,True,True,10,89,98,10,10,67,Hopkins,,24,,0,22,91,10,,DeAndre Hopkins,96,39,20,,22,,10,18,,"{'id': 4, 'abbreviation': 'WR', 'external_id': 3, 'base_position': 4, 'name': 'Wide Receiver'}",4,"{""4"": 96}",20,30,"{'id': 125, 'external_image_name': '86,1001006', 'external_id': 1006, 'game': 8, 'description': 'Team of the Year', 'hex_color': '#E4C600', 'name': 'Team of the Year', 'image': 'https://cdn.muthead.com/media/20/assets/pgrm-00006001.png'}",125,20,34900,6,95,2020-01-14T15:36:46.378170Z,48,30,,32,,8,75,92,10,95,92,81,98,"[{'value': '6\' 1""', 'label': 'HT'}, {'value': 92, 'label': 'SPD'}, {'value': 98, 'label': 'JMP'}, {'value': 95, 'label': 'CTH'}, {'value': 95, 'label': 'CIT'}, {'value': 95, 'label': 'SPC'}, {'value': 92, 'label': 'SRR'}, {'value': 91, 'label': 'MRR'}, {'value': 90, 'label': 'DRR'}]",1,77,78,,32,"{'id': 32, 'external_id': 32, 'short_name': 'Texans', 'hex_color': '#033e61', 'abbreviation': 'HOU', 'name': 'Houston Texans'}",32,10,26,13,10,4,90,True,,True,5.0,False,True,,True,,True,1.0,,True,,True,,,,,,,,53,,/20/players/53105/,215,25
8,90,32,86,43,43,88,92,40,28,93,True,True,92,58,61,,44,22,65,52195,2928,10,Christian,8,True,False,73,20,9098,https://cdn.muthead.com/media/20/assets/lgnd-00052195.png,92,2019-10-19T14:36:42.169980Z,,89,True,False,False,True,True,35,75,75,21,14,21,Okoye,,88,,0,10,47,27,,Christian Okoye,92,67,58,,68,,15,25,,"{'id': 3, 'abbreviation': 'FB', 'external_id': 2, 'base_position': 3, 'name': 'Full Back'}",3,"{""2"": 93, ""3"": 92, ""5"": 86}",10,20,"{'id': 92, 'external_image_name': '86,1000009', 'external_id': 9, 'game': 8, 'description': 'Legends', 'hex_color': '#0054AB', 'name': 'Legends', 'image': 'https://cdn.muthead.com/media/20/assets/swap-81-3000000.png'}",92,42,9470,6,50,2019-10-19T14:36:42.169989Z,84,57,,71,,11,52,61,31,49,88,66,87,"[{'value': '6\' 1""', 'label': 'HT'}, {'value': 88, 'label': 'SPD'}, {'value': 90, 'label': 'STR'}, {'value': 88, 'label': 'AWR'}, {'value': 92, 'label': 'CAR'}, {'value': 61, 'label': 'CTH'}, {'value': 84, 'label': 'RBK'}, {'value': 88, 'label': 'LBK'}, {'value': 92, 'label': 'IMP'}]",1,90,90,,40,"{'id': 9, 'external_id': 9, 'short_name': 'Chiefs', 'hex_color': '#b20032', 'abbreviation': 'KC', 'name': 'Kansas City Chiefs'}",9,20,33,10,15,4,96,False,,False,4.0,False,True,,True,,False,1.0,,False,,False,,,,,,,,93,,/20/players/52195/,253,22
9,84,41,83,5,5,87,74,26,33,78,True,True,72,85,82,,76,5,68,50106,1017,10,Joe,8,True,False,77,23,8505,https://cdn.muthead.com/media/20/assets/diam-00050106.png,53,2019-08-16T14:36:36.721761Z,,84,True,False,False,True,True,83,73,86,28,23,46,Jurevicius,,49,,0,22,86,10,,Joe Jurevicius,87,48,41,,45,,5,32,,"{'id': 4, 'abbreviation': 'WR', 'external_id': 3, 'base_position': 4, 'name': 'Wide Receiver'}",4,"{""4"": 87}",10,14,"{'id': 102, 'external_image_name': '86,1001001', 'external_id': 1001, 'game': 8, 'description': 'Theme Diamonds', 'hex_color': '#AFBCC7', 'name': 'Theme Diamonds', 'image': 'https://cdn.muthead.com/media/20/assets/pgrm-90001001.png'}",102,32,1860,6,86,2019-08-16T14:36:36.721807Z,52,51,,51,,1,37,84,15,85,84,69,87,"[{'value': '6\' 5""', 'label': 'HT'}, {'value': 84, 'label': 'SPD'}, {'value': 86, 'label': 'JMP'}, {'value': 82, 'label': 'CTH'}, {'value': 85, 'label': 'CIT'}, {'value': 85, 'label': 'SPC'}, {'value': 84, 'label': 'SRR'}, {'value': 86, 'label': 'MRR'}, {'value': 76, 'label': 'DRR'}]",1,82,72,,28,"{'id': 6, 'external_id': 6, 'short_name': 'Buccaneers', 'hex_color': '#d60a0b', 'abbreviation': 'TB', 'name': 'Tampa Bay Buccaneers'}",6,25,29,10,10,4,82,False,,False,3.0,False,True,,True,,True,1.0,,True,,True,,,,,,,,73,,/20/players/50106/,230,28
